svg_link,name_latin,arabic,translation,explaination
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/15._Al_Qahar.svg,15. Al-Qahhaar,( القهار ),Yang Maha Gagah Perkasa,"Maha Pemaksa, menggenggam segala sesuatu dalam kekuasaanNya serta memaksa segala makhluk menurut kehendakNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/16._Al_Wahab.svg,16. Al-Wahhaab,( الوهاب ),Yang Maha Pemberi,"Maha Pemberi / Maha Menganugerah, iaitu memberi banyak kenikmatan dan selalu memberi kurnia."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/17._Ar_Razzaq.svg,17. Ar-Razzaaq,( الرزاق ),Yang Maha Memberi Rezeki,"Maha Pengrezeki / Maha Pemberi Rezeki, iaitu memberi berbagai rezeki serta membuat juga sebab-sebab diperolehnya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/18._Al_Fattaah.svg,18. Al-Fattaah,( الفتاح ),Yang Maha Pembuka,"Maha Membukakan / Maha Pembuka , iaitu membuka gedung penyimpanan rahmatNya untuk seluruh hambaNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/19._Al_Aliim.svg,19. Al-’Aliim,( العليم ),Yang Maha Mengetahui,"Maha Mengetahui, iaitu mengetahui segala yang maujud dan tidak ada satu benda pun yang tertutup oleh penglihatanNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/20._Al_Qaabidh.svg,20. Al-Qaabidh,( القابض ),Yang Maha Pengekang,"Maha Pencabut / Maha Penyempit Hidup / Maha Pengekang, iaitu mengambil nyawa atau menyempitkan rezeki bagi siapa yang dikehendaki olehNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/21._Al_Baasith.svg,21. Al-Baasith,( الباسط ),Yang Maha Melapangkan,"Maha Meluaskan / Maha Pelapang Hidup / Maha Melimpah Nikmat, iaitu memudahkan terkumpulnya rezeki bagi siapa yang diinginkan olehNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/22._AI_Khaafidh.svg,22. AI-Khaafidh,( الخافض ),Yang Maha Merendahkan Darjat Seseorang,"Maha Menjatuhkan / Maha Menghinakan / Maha Perendah / Pengurang, iaitu terhadap orang yang selayaknya dijatuhkan akibat kelakuannya sendiri dengan memberinya kehinaan, kerendahan dan seksaan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/23._Ar_Raafi.svg,23. Ar-Raafi’,( الرافع ),Yang Maha Meninggi­kan Darjat,"Maha Mengangkat / Maha Peninggi, iaitu terhadap orang yang selayaknya diangkat kedudukannya kerana usahanya yang giat, iaitu termasuk golongan kaum yang bertaqwa."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/24._Al_Muiz.svg,24. Al-Mu’iz,( المعز ),Yang Maha Memuliakan,"Maha Menghormati / Memuliakan / Maha Pemberi Kemuliaan/Kemenangan, iaitu kepada orang yang berpegang teguh pada agamaNya dengan memberinya pentolongan dan kemenangan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/25._Al_Muzil.svg,25. Al-Muzil,( المذل ),Yang Maha Menghina Musuh-Nya,"Maha Menghina / Pemberi kehinaan, iaitu kepada musuh-musuhNya dan musuh ummat Islam seluruhnya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/26._As_Samii.svg,26. As-Samii’,( السميع ),Yang Maha Mendengar,Maha Mendengar.
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/27._Al_Bashiir.svg,27. Al-Bashiir,( البصير ),Yang Maha Melihat,Maha Melihat.
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/28.Al_Hakam.svg,28. Al-Hakam,( الحكم ),Yang Maha Menentukan Hu­kum­­an,"Maha Menghukum / Maha Mengadili, iaitu sebagai hakim yang menetapkan / memutuskan yang tidak seorang pun dapat menolak keputusanNya, juga tidak seorang pun yang berkuasa merintangi kelangsungan hukumNya itu."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/29._Al_Adl.svg,29. Al-’Adl,( العدل ),Yang Maha Adil,Maha Adil. Serta sangat sempurna dalam keadilanNya itu.
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/30._Al_Lathiif.svg,30. Al-Lathiif,( اللطيف ),Yang Maha Lemah Lembut dan Menge­tahui Segala Sesuatu Sehalus-halusnya,"Maha Menghalusi / Maha Teliti / Maha Lembut serta Halus, iaitu mengetahui segala sesuatu yang samar-samar, pelik-pelik dan kecil-kecil."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/31._Al_Khabiir.svg,31. Al-Khabiir,( الخبير ),Yang Maha Sedia Mengetahui,Maha Waspada/  Maha Mengetahui.
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/32._Al_Haliim.svg,32. Al-Haliim,( الحليم ),Yang Maha Penyantun dan Pe­nya­bar,"Maha Penyabar / Maha Penyantun / Maha Penghamba, iaitu yang tidak tergesa-gesa melakukan kemarahan dan tidak pula gelojoh memberikan siksaan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/33._Al_Adzhiim.svg,33. Al-’Adzhiim,( العظيم ),Yang Maha Agung,"Maha Agung, iaitu mencapai puncak tertinggi dan di mercu keagungan kerana bersifat dengan segala macam sifat kebesaran dan kesempunnaan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/34._Al_Ghafuur.svg,34. Al-Ghafuur,( الغفور ),Yang Maha Sedia Mengampuni,"Maha Pengampun, banyak pengampunanNya kepada hamba-hambaNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/35._Asy_Syakuur.svg,35. Asy-Syakuur,( الشكور ),Yang Maha Meng­gandakan Balasan,"Maha Pembalas / Maha Bersyukur, iaitu memberikan balasan yang banyak sekali atas amalan yang kecil."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/36._Al_Aliy.svg,36. Al-’Aliy,( العلي ),Yang Maha Tinggi (Luhur),"Maha Tinggi Martabat-Nya / Maha Tinggi serta Mulia, iaitu mencapai tingkat yang setinggi-tingginya yang tidak mungkin digambarkan oleh akal fikiran sesiapa pun dan tidak dapat difahami oleh otak yang bagaimanapun pandainya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/37._Al_Kabiir.svg,37. Al-Kabiir,( الكبير ),Maha Besar,"Maha Besar, yang kebesaranNya tidak dapat dicapai oleh pancaindera ataupun akal manusia."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/38._Al_Hafidz.svg,38. Al-Hafidz,( الحفيظ ),Yang Maha Memelihara,"Maha Pemelihara Maha Pelindung / Maha Memelihara, iaitu menjaga segala sesuatu jangan sampai rosak dan goyah. Juga menjaga segala amal perbuatan hamba-hambaNya, sehingga tidak akan disia-siakan sedikit pun untuk memberikan balasanNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/39._Al_Muqiit.svg,39. Al-Muqiit,( المقيت ),Yang Maha Menyediakan Segala Keperluan Makhluk-Nya,"Maha Pemberi kecukupan/ Maha Pemberi Keperluan , baik yang berupa makanan tubuh ataupun makanan rohani."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/40._Al_Hasiib.svg,40. Al-Hasiib,( الحسيب ),Yang Maha Menghitung Amalan Makhluk,"Maha Penjamin / Maha Mencukupi / Maha Penghitung, iaitu memberikan jaminan kecukupan kepada seluruh bamba-hambaNya pada hari Qiamat."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/41._Al_Jaliil.svg,41. Al-Jaliil,( الجليل ),Yang Maha Memiliki Sifat Ke­agung­an Yang Tiada Pada Makhluk,"Maha Luhur, iaitu yang memiliki sifat-sifat keluhuran kerana kesempurnaan sifat-sifatNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/42._Al_Kariim.svg,42. Al-Kariim,( الكريم ),Yang Maha Mulia dan Sedia Mem­beri,"Maha Pemurah, iaitu mulia tanpa had dan memberi siapa pun tanpa diminta atau sebagai penggantian dan sesuatu pemberian."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/43._Ar_Raqiib.svg,43. Ar-Raqiib,( الركيب ),Yang Maha Mengawasi,"Maha Peneliti / Maha Pengawas Maha Waspada, iaitu yang mengamat-amati gerak-geri segala sesuatu dan mengawasinya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/44._Al_Mujiib.svg,44. Al-Mujiib,( المجيب ),Yang Maha Memakbulkan,"Maha Mengabulkan, iaitu yang memenuhi permohonan siapa saja yang berdoa padaNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/45._Al_Waasi.svg,45. Al-Waasi’,( الواسع ),Yang Maha Luas Ilmu dan Rahmat-Nya,"Maha Luas Pemberian-Nya , iaitu kerahmatanNya merata kepada segala yang maujud dan luas pula ilmuNya terhadap segala sesuatu."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/46._Al_Hakiim.svg,46. Al-Hakiim,( الحكيم ),Yang Maha Bijaksana,"Maha Bijaksana, iaitu memiliki kebijaksanaan yang tertinggi kesempurnaan ilmuNya serta kerapiannya dalam membuat segala sesuatu."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/47._Al_Waduud.svg,47. Al-Waduud,( الودود ),Yang Maha Mengasihi orang yang beriman kepada-Nya,"Maha Pencinta / Maha Menyayangi, iaitu yang menginginkan segala kebaikan untuk seluruh hambaNya dan juga berbuat baik pada mereka itu dalam segala hal dan keadaan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/48._Al_Majiid.svg,48. Al-Majiid,( المجيد ),Yang Maha Sempurna,"Maha Mulia, iaitu yang mencapai tingkat teratas dalam hal kemuliaan dan keutamaan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/49._Al_Baithu.svg,49. Al-Ba’ithu,( الباعث ),Yang Membangkitkan Manusia,"Maha Membangkitkan, iaitu membangkitkan semangat dan kemahuan, juga membangkitkan para Rasul dan orang-orang yang telah mati dari kubur masing-masing nanti setelah tibanya hari Qiamat."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/50._Asy_Syahiid.svg,50. Asy-Syahiid,( الشهيد ),Yang Maha Me­nyak­sikan Segala Kebenaran,Maha Menyaksikan / Maha Mengetahui keadaan semua makhluk.
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/51._Al_Haq.svg,51.  Al-Haq,( الحق ),Yang Maha Benar,Maha Haq / Maha Benar yang kekal dan tidak akan berubah sedikit pun.
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/52._Al_Wakiil.svg,52. Al-Wakiil,( الوكيل ),Yang Maha Pelindung,"Maha Pentadbir / Maha Berserah / Maha Memelihara penyerahan, yakni memelihara semua urusan hamba-hambaNya dan apa-apa yang menjadi keperluan mereka itu."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/53._Al_Qawiy.svg,53. Al-Qawiy,( القوى ),Yang Maha Berkuasa,"Maha Kuat / Maha Memiliki Kekuatan , iaitu yang memiliki kekuasaan yang sesempurnanya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/54._Al_Matiin.svg,54. Al-Matiin,( المتين ),Yang Maha Teguh Kekuatan-Nya,"Maha Teguh / Maha Kukuh atau Perkasa / Maha Sempurna Kekuatan-Nya , iaitu memiliki keperkasaan yang sudah sampai di puncaknya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/55._Al_Waliy.svg,55. Al-Waliy,( الولى ),Yang Maha Memberikan Per­tolong­an,"Maha Melindungi, iaitu melindungi serta mengaturkan semua kepentingan makhlukNya kerana kecintaanNya yang amat sangat dan pemberian pertolonganNya yang tidak terbatas pada keperluan mereka."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/56._Al_Hamiid.svg,56. Al-Hamiid,( الحميد ),Yang Maha Layak Menerima Pujian,"Maha Terpuji, yang memang sudah selayaknya untuk memperoleh pujian dan sanjungan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/57._Al_Muhshii.svg,57. Al-Muhshii,( المحصى ),Yang Maha Mengira,"Maha Menghitung  / Maha Penghitung, iaitu yang tiada satu pun tertutup dari pandanganNya dan semua amalan diperhitungkan sebagaimana wajarnya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/58._Al_Mubdi.svg,58. Al-Mubdi’,( المبدئ ),Yang Maha Memulakan Sesuatu,"Maha Memulai/Pemula / Maha Pencipta dari Asal, iaitu yang melahirkan sesuatu yang asalnya tidak ada dan belum maujud."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/59._Al_Muiid.svg,59. Al-Mu’iid,( المعيد ),Yang Maha Mengem­balikan Ciptaan-Nya,"Maha Mengulangi / Maha Mengembalikan dan Memulihkan, iaitu menumbuhkan kembali setelah lenyapnya atau setelah rosaknya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/60._Al_Muhyii.svg,60. Al-Muhyii,( المحي ),Yang Maha Menghidupkan,"Maha Menghidupkan, iaitu memberikan daya kehidupan pada setiap sesuatu yang berhak hidup."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/61._Al_Mumiit.svg,61. Al-Mumiit,( المميت ),Yang Maha Mematikan,"Maha Mematikan, iaitu mengambil kehidupan (roh) dari apa-apa yang hidup."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/62._Al_Hay.svg,62. Al-Hay,( الحي ),Yang Maha Hidup,"Maha Hidup, iaitu sentiasa kekal hidupNya itu."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/63._Al_Qayyuum.svg,63. Al-Qayyuum,( القيوم ),Yang Maha Berdiri Sendiri,"Maha Berdiri Dengan Sendiri-Nya , iaitu baik ZatNya, SifatNya, Af’alNya. Juga membuat berdirinya apa-apa yang selain Dia. DenganNya pula berdirinya langit dan bumi ini."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/64._Al_Waajid.svg,64. Al-Waajid,( الواجد ),Yang Maha Memperoleh Segala Sesuatu Yang Dikehendaki-Nya,"Maha Penemu / Maha Menemukan, iaitu dapat menemukan apa saja yang diinginkan olehNya, maka tidak berkehendakkan pada suatu apa pun kerana sifat kayaNya yang secara mutlak."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/65._Al_Maajid.svg,65. Al-Maajid,( الماجد ),Yang Maha Dimulia­kan,"Maha Mulia, (sama dengan no. 48 yang berbeda hanyalah tulisannya dalam bahasa Arab, Ejaan sebenarnya no. 48 Al-Majiid, sedang no. 65 A1-Maajid)."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/66._Al_Waahid.svg,66. Al-Waahid,( الواحد ),Yang Maha Esa,Maha Esa.
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/67._Al_Ahad.svg,67. Al-Ahad,( الأحد ),Yang Maha Tunggal,Maha Tunggal.
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/68._Ash_Shamad.svg,68. Ash-Shamad,( الصمد ),Yang Kekal dan Men­jadi Tempat Bergantung Sekalian Makhluk,"Maha Diperlukan / Maha Diminta / Yang Menjadi Tumpuan, iaitu selalu menjadi tujuan dan harapan orang di waktu ada hajat keperluan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/69._Al_Qaadir.svg,69. Al-Qaadir,( القادر ),Yang Maha Berkuasa,Maha Berkuasa/ Maha Kuasa / Maha Berupaya
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/70._Al_Muqtadir.svg,70. Al-Muqtadir,( المقتدر ),Yang Maha Berkuasa Me­nentu­kan Sesuatu,Maha Menentukan.
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/71._Al_Muqaddim.svg,71. Al-Muqaddim,( المقدم ),Yang Memulakan Wujudnya Sesuatu,"Maha Mendahulukan / Maha Menyegera, iaitu mendahulukan sebahagian benda dari yang lainnya dalam mewujudnya, atau dalam kemuliaannya, selisih waktu atau tempatnya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/72._Al_Muakhkhir.svg,72. Al-Muakhkhir,( المؤخر ),Yang Mentak­hir­kan Wujudnya Sesuatu,"Maha Menangguhkan / Maha Mengakhirkan / Maha Membelakangkan / Maha Melambat-lambatkan., iaitu melewatkan sebahagian sesuatu dari yang lainnya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/73._Al_Awwal.svg,73. Al-Awwal,( الأول ),Yang Awal dan Tiada Permulaan,"Maha Pemulaan  / Maha Pertama, iaitu terdahulu sekali dari semua yang maujud."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/74._Al_Aakhir.svg,74. Al-Aakhir,( الآخر ),Yang Akhir dan Tiada Kesudahan,"Maha Penghabisan / Yang Akhir, iaitu kekal terus setelah habisnya segala sesuatu yang maujud."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/75._Azh_Zhaahir.svg,75. Azh-Zhaahir,( الظاهر ),Yang Menzahirkan Kewujudan,"Maha Zahir / Maha Nyata / Maha Menyatakan, iaitu menyatakan dan menampakkan kewujudanNya itu dengan bukti-bukti dan tanda-tanda ciptaanNya"
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/76._Al_Baathin.svg,76. Al-Baathin,( الباطن ),Yang Menyembunyikan Kewujud­an,"Maha Tersembunyi, iaitu tidak dapat dimaklumi ZatNya, sehingga tidak seorang pun dapat mengenal ZatNya itu."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/77._Al_Waalii.svg,77. Al-Waalii,( الوالى ),Yang Maha Memiliki dan Meme­rintah Segala Sesuatu,"Maha Menguasai / Maha Menguasai Urusan / Yang Maha Memerintah, iaitu menggenggam segala sesuatu dalam kekuasaanNya dan menjadi milikNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/78._Al_Mutaaalii.svg,78. Al-Muta’aalii,( المتعال ),Yang Maha Tinggi dan Suci,"Maha Suci/Tinggi , iaitu terpelihara dari segala kekurangan dan kerendahan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/79._Al_Bar.svg,79. Al-Bar,( البار ),Yang Menjadi Sumber Kebaikan,"Maha Dermawan / Maha Bagus (Sumber Segala Kelebihan) / Yang banyak membuat kebajikan, iaitu banyak kebaikanNya dan besar kenikmatan yang dilimpahkanNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/80._At_Tawwaab.svg,80. At-Tawwaab,( التواب ),Yang Sentiasa Menerima Taubat,"Maha Penerima Taubat, iaitu memberikan pertolongan kepada orang-orang yang melakukan maksiat untuk bertaubat lalu Allah akan menerimanya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/81._Al_Muntaqim.svg,81. Al-Muntaqim,( المنتقم ),Yang Membalas Dengan Seksa,"Maha Penyiksa / Yang Maha Menghukum, kepada mereka yang bersalah dan orang yang berhak untuk memperoleh siksaNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/82._Al_Afuw.svg,82. Al-’Afuw,( العفو ),Yang Maha Pemaaf,"Maha Pemaaf / Yang Maha Pengampun, menghapuskan kesalahan orang yang suka kembali untuk meminta maaf padaNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/83._Ar_Rauuf.svg,83. Ar-Rauuf,( الرؤف ),Yang Maha Pemberi Kasih Sayang,"Maha Pengasih / Maha Mengasihi, banyak kerahmatan dan kasih sayangNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/84._Maalikul_Mulk.svg,84. Maalikul Mulk,( المالك الملك ),Pemilik Mutlak Segala Kekuasaan,"Maha Pemilik Kekuasaan  / Maha Menguasai kerajaan / Pemilik Kedaulatan Yang Kekal, maka segala perkara yang berlaku di alam semesta, langit, bumi dan sekitarnya serta yang di alam semesta itu semuanya sesuai dengan kehendak dan iradatNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/85._Zul_Jalaali_Wal_Ikraam.svg,85. Zul-Jalaali Wal Ikraam,( ذوالجلال والإكرام ),Yang Memiliki Keagungan dan Kemuliaan,"Maha Pemilik Keagungan dan Kemuliaan  / Maha Memiliki Kebesaran dan Kemuliaan. Juga Zat yang mempunyai keutamaan dan kesempurnaan, pemberi kurnia dan kenikmatan yang amat banyak dan melimpah ruah."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/86._Al_Muqsith.svg,86. Al-Muqsith,( المقسط ),Yang Maha Adil dan Saksama,"Maha Mengadili / Maha Saksama, iaitu memberikan kemenangan pada orang-orang yang teraniaya dari tindakan orang-orang yang menganiaya dengan keadilanNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/87._Al_Jaami.svg,87. Al-Jaami’,( الجامع ),Yang Maha Penghim­pun,"Maha Mengumpulkan / Maha Pengumpul, iaitu mengumpulkan berbagai hakikat yang telah bercerai-berai dan juga mengumpulkan seluruh umat manusia pada hari pembalasan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/88._Al_Ghaniy.svg,88. Al-Ghaniy,( الغنى ),Yang Maha Kaya dan Tidak Me­mer­lukan Sesuatu Apa-apa pun,"Maha Kaya Raya / Maha Kaya serta Serba Lengkap, iaitu tidak berkehendakkan apa juapun dari yang selain ZatNya sendiri, tetapi yang selainNya itu amat mengharapkan padaNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/89._Al_Mughnii.svg,89. Al-Mughnii,( المغنى ),Yang Maha Mengayakan Ma­k­h­luk Sehingga Tidak Memerlukan Apa-apa,"Maha Pemberi kekayaan / Maha Mengkayakan dan Memakmurkan, iaitu memberikan kelebihan yang berupa kekayaan yang berlimpah-ruah kepada siapa saja yang dikehendaki dari golongan hamba-hambaNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/90._Al_Maani.svg,90. Al-Maani’,( المانع ),Yang Maha Menegah dan Menolak,"Maha Membela atau Maha Menolak / Maha Pencegah, iaitu membela hamba-hambaNya yang soleh dan menolak sebab-sebab yang menyebabkan kerosakan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/91._Adh_Dhaar.svg,91. Adh-Dhaar,( الضار ),Yang Mendatangkan Kemudaratan,"Maha Mendatangkan Mudharat / Maha Pembuat Bahaya  / Maha Pemberi bahaya, iaitu dengan menurunkan seksa-seksaNya kepada musuh-musuhNya"
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/92._An_Naafi.svg,92. An-Naafi’,( النافع ),Yang Memberikan Ke­bai­kan dan Kemanfaatan,"Maha Pemberi Manfaat , iaitu meluaslah kebaikan yang dikurniakanNya itu kepada semua hamba, masyarakat dan negeri."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/93._An_Nuur.svg,93. An-Nuur,( النور ),Cahaya Yang Menerangi,"Maha Pemberi Cahaya  / Maha Bercahaya, iaitu menonjokan ZatNya sendiri dan menampakkan untuk yang selainNya dengan menunjukkan tanda-tanda kekuasaanNya."
